,Current_Ranking,Player_Name,Team,Position,Games_Played,Minutes_per_Game,Points_per_Game,Field_Goals_Made_per_Game,Field_Goals_Attempted_per_Game,Field_Goals_Percentage_per_Game,3Pointers_Made_per_Game,3Pointers_Attempted_per_Game,3Pointers_Percentage_per_Game,Free_Throws_Made_per_Game,Free_Throws_Attempted_per_Game,Free_Throws_Percentage_per_Game,Rebounds_per_Game,Assists_per_Game,Steals_per_Game,Blocks_per_Game,Turnovers_per_Game,Total_Double_Doubles,Total_Triple_Doubles
210,210,Dalano Banton,TOR,PG,18,10.7,5.9,2.2,5.3,42.1,0.7,2.3,31.7,0.8,0.9,87.5,1.6,1.2,0.6,0.6,0.7,0,0
211,212,Daniel Gafford,WSH,C,24,13.3,5.9,2.4,3.3,72.2,0.0,0.0,0.0,1.1,2.0,57.4,4.2,0.4,0.3,1.1,0.9,2,0
212,213,Dwight Powell,DAL,C,21,17.3,5.9,2.2,3.2,70.1,0.0,0.0,0.0,1.4,2.0,67.4,3.5,0.5,0.6,0.4,0.9,0,0
213,214,Devonte' Graham,NO,PG,23,16.1,5.8,1.7,4.7,37.4,1.6,4.0,39.6,0.8,1.0,78.3,1.5,2.2,0.5,0.3,0.6,0,0
214,215,Isaiah Livers,DET,PF,22,19.5,5.8,1.9,4.7,40.4,1.3,3.7,35.8,0.7,0.9,75.0,2.3,0.6,0.4,0.5,0.6,0,0
215,216,Walker Kessler,UTAH,C,23,15.8,5.8,2.4,3.2,75.7,0.0,0.0,0.0,0.9,1.6,56.8,5.3,0.6,0.2,1.7,0.7,2,0
216,217,T.J. McConnell,IND,PG,21,18.0,5.8,2.5,5.4,46.5,0.2,0.6,33.3,0.5,0.6,91.7,2.5,4.3,1.2,0.2,1.8,1,0
217,218,Justin Holiday,ATL,SF,18,16.8,5.7,2.2,5.4,40.2,1.3,3.8,35.3,0.0,0.0,0.0,0.9,0.9,0.2,0.3,0.6,0,0
218,219,Jonathan Kuminga,GS,PF,21,15.9,5.6,2.1,4.8,43.6,0.4,1.8,23.7,1.0,1.3,75.0,2.9,0.9,0.3,0.5,1.3,1,0
219,220,JaMychal Green,GS,F,22,15.1,5.5,2.3,4.6,50.5,0.3,1.5,17.6,0.6,0.8,77.8,3.9,0.7,0.6,0.4,1.0,0,0
220,221,Oshae Brissett,IND,SF,19,15.9,5.5,1.7,4.1,42.9,0.9,2.5,36.2,1.2,1.6,73.3,2.9,0.6,0.7,0.2,0.5,0,0
221,222,Nassir Little,POR,SF,21,15.3,5.5,2.0,4.3,47.3,0.8,2.0,37.2,0.7,1.0,66.7,2.4,0.9,0.4,0.1,0.7,0,0
222,223,Drew Eubanks,POR,PF,22,17.5,5.5,2.2,3.1,71.0,0.0,0.0,0.0,1.0,1.5,67.6,4.2,0.9,0.5,1.0,0.8,0,0
223,223,Darius Bazley,OKC,PF,18,15.6,5.5,2.1,4.8,43.7,0.5,1.4,36.0,0.8,1.6,50.0,3.9,1.0,0.6,1.3,0.7,0,0
224,225,Thaddeus Young,TOR,PF,21,17.1,5.5,2.4,4.5,53.2,0.1,0.7,20.0,0.6,0.7,85.7,4.0,1.9,1.0,0.1,0.9,0,0
225,226,Theo Maledon,CHA,PG,22,16.7,5.5,2.0,4.4,44.8,0.6,1.6,38.9,0.9,1.0,87.0,2.4,2.5,0.8,0.2,1.2,0,0
226,227,Chuma Okeke,ORL,PF,18,21.8,5.4,1.8,4.8,36.8,1.0,3.3,30.0,0.9,1.2,76.2,4.2,1.4,0.6,0.5,0.5,0,0
227,228,Alex Caruso,CHI,SG,23,25.8,5.4,1.7,4.3,40.4,0.9,2.4,35.7,1.0,1.3,77.4,2.7,3.7,1.4,0.8,1.4,1,0
228,229,DeAndre Jordan,DEN,C,19,15.7,5.3,2.3,3.0,75.4,0.1,0.1,100.0,0.7,1.6,46.7,5.9,1.0,0.2,0.6,1.3,1,0
229,230,James Bouknight,CHA,SG,19,17.2,5.3,2.0,5.9,33.6,0.7,3.1,23.7,0.5,0.8,62.5,2.4,1.4,0.5,0.2,0.9,0,0
230,231,Cory Joseph,DET,PG,20,15.0,5.3,2.0,4.5,44.9,0.8,1.9,40.5,0.5,0.8,66.7,1.0,3.0,0.3,0.1,0.5,0,0
